Date,Open,,,,,
21-Sep-16,603.59,,,,,
20-Sep-16,609.25,,,,,
19-Sep-16,609.87,,,,,
18-Sep-16,606.28,,,,,
17-Sep-16,607.22,,,,,
16-Sep-16,607.25,,,,,
15-Sep-16,610.59,,,,,
14-Sep-16,608.84,,,,,
13-Sep-16,608.02,,,,,
12-Sep-16,607,,,,,
11-Sep-16,623.42,,,,,
10-Sep-16,622.93,,,,,
9-Sep-16,626.35,,,,,
8-Sep-16,614.63,,,,,
7-Sep-16,610.57,,,,,
6-Sep-16,606.51,,,,,
5-Sep-16,608.99,,,,,
4-Sep-16,598.59,,,,,
3-Sep-16,575.55,,,,,
2-Sep-16,572.41,,,,,
1-Sep-16,575.55,,,,,
31-Aug-16,577.59,,,,,
30-Aug-16,574.11,,,,,
29-Aug-16,574.07,,,,,
28-Aug-16,569.83,,,,,
27-Aug-16,579.45,,,,,
26-Aug-16,577.75,,,,,
25-Aug-16,580.18,,,,,
24-Aug-16,583.41,,,,,
23-Aug-16,586.77,,,,,
22-Aug-16,581.31,,,,,
21-Aug-16,581.94,,,,,
20-Aug-16,576.08,,,,,
19-Aug-16,574.34,,,,,
18-Aug-16,573.71,,,,,
17-Aug-16,577.76,,,,,
16-Aug-16,567.24,,,,,
15-Aug-16,570.49,,,,,
14-Aug-16,585.59,,,,,
13-Aug-16,587.36,,,,,
12-Aug-16,588.8,,,,,
11-Aug-16,592.12,,,,,
10-Aug-16,587.65,,,,,
9-Aug-16,591.04,,,,,
8-Aug-16,592.74,,,,,
7-Aug-16,587.77,,,,,
6-Aug-16,575.03,,,,,
5-Aug-16,578.28,,,,,
4-Aug-16,566.33,,,,,
3-Aug-16,548.66,,,,,
2-Aug-16,606.4,,,,,
1-Aug-16,624.6,,,,,
31-Jul-16,655.1,,,,,
30-Jul-16,657.01,,,,,
29-Jul-16,655.11,,,,,
28-Jul-16,654.49,,,,,
27-Jul-16,651.63,,,,,
26-Jul-16,654.23,,,,,
25-Jul-16,661.26,,,,,
24-Jul-16,655.41,,,,,
23-Jul-16,650.73,,,,,
22-Jul-16,664.92,,,,,
21-Jul-16,665.23,,,,,
20-Jul-16,672.81,,,,,
19-Jul-16,672.74,,,,,
18-Jul-16,679.81,,,,,
17-Jul-16,661.99,,,,,
16-Jul-16,663.78,,,,,
15-Jul-16,659.17,,,,,
14-Jul-16,652.92,,,,,
13-Jul-16,664.8,,,,,
12-Jul-16,648.28,,,,,
11-Jul-16,648.48,,,,,
10-Jul-16,650.6,,,,,
9-Jul-16,666.38,,,,,
8-Jul-16,640.69,,,,,
7-Jul-16,678.09,,,,,
6-Jul-16,670.42,,,,,
5-Jul-16,683.21,,,,,
4-Jul-16,658.8,,,,,
3-Jul-16,704.97,,,,,
2-Jul-16,676.73,,,,,
1-Jul-16,672.51,,,,,
30-Jun-16,640.59,,,,,
29-Jun-16,644.12,,,,,
28-Jun-16,658.1,,,,,
27-Jun-16,629.35,,,,,
26-Jun-16,665.93,,,,,
25-Jun-16,665.28,,,,,
24-Jun-16,625.58,,,,,
23-Jun-16,597.44,,,,,
22-Jun-16,665.91,,,,,
21-Jun-16,735.88,,,,,
20-Jun-16,763.93,,,,,
19-Jun-16,756.69,,,,,
18-Jun-16,748.76,,,,,
17-Jun-16,768.49,,,,,
16-Jun-16,696.52,,,,,
15-Jun-16,685.68,,,,,
14-Jun-16,704.5,,,,,
13-Jun-16,671.65,,,,,
12-Jun-16,609.68,,,,,
11-Jun-16,578.67,,,,,
10-Jun-16,575.84,,,,,
9-Jun-16,582.2,,,,,
8-Jun-16,577.17,,,,,
7-Jun-16,585.45,,,,,
6-Jun-16,574.6,,,,,
5-Jun-16,573.31,,,,,
4-Jun-16,569.71,,,,,
3-Jun-16,537.68,,,,,
2-Jun-16,536.51,,,,,
1-Jun-16,531.11,,,,,
31-May-16,534.19,,,,,
30-May-16,528.47,,,,,
29-May-16,527.48,,,,,
28-May-16,473.03,,,,,
27-May-16,453.52,,,,,
26-May-16,449.67,,,,,
25-May-16,446.06,,,,,
24-May-16,444.29,,,,,
23-May-16,439.35,,,,,
22-May-16,443.22,,,,,
21-May-16,442.97,,,,,
20-May-16,437.79,,,,,
19-May-16,454.52,,,,,
18-May-16,453.69,,,,,
17-May-16,454.01,,,,,
16-May-16,457.59,,,,,
15-May-16,455.76,,,,,
14-May-16,455.82,,,,,
13-May-16,454.85,,,,,
12-May-16,452.45,,,,,
11-May-16,450.86,,,,,
